0	X																	
0	0	X																
0	0	0	X															
0	0	0	0	X														
0	0	0	0	0	X													
0	0	0	0	0	1	X												
0	0	0	0	0	1	1	X											
0	0	0	1	1	1	1	1	X										
0	0	1	2	2	2	3	3	3	X									
0	0	1	3	4	6	6	8	10	14	X								
0	0	2	4	9	13	17	18	18	18	19	X							
0	1	3	7	15	26	37	42	44	46	46	46	X						
0	1	4	11	29	54	83	108	115	120	120	120	124	X					
0	1	5	20	49	101	171	229	272	294	301	301	302	302	X				
0	2	7	27	82	182	328	487	611	693	730	733	737	740	740	X			
0	2	10	40	126	310	615	989	1332	1590	1737	1784	1792	1796	1796	1798	X		
0	2	11	57	191	514	1098	1905	2765	3519	3983	4224	4343	4385	4388	4408	4408	X	
0	2	12	78	286	818	1876	3534	5545	7525	8959	9362	9639	9648	9648	9651	9653	9657	X
0	2	14	106	415	1197	2780	5462	9854	13601	17026	19062	19185	19298	19298	19302	19306	19511	19716
